;Classe;Département;Nombre individus
401;1897;aube;1928
402;1907;cote+d%27or;0
403;1907;corse;2860
404;1907;correze;2822
405;1892;alpes-de-haute-provence;1399
406;1907;saone-et-loire;4865
407;1897;ardennes;2668
408;1906;haute-garonne;3089
409;1896;meurthe-et-moselle;0
410;1891;saone-et-loire;4274
411;1906;haute-loire;2720
412;1906;haute-marne;888
413;1896;meuse;2323
414;1906;haute-saone;2049
415;1906;haute-savoie;2317
416;1896;morbihan;5627
417;1891;sarthe;3666
418;1906;haute-vienne;3407
419;1906;hautes-alpes;1033
420;1896;moselle;0
421;1906;hautes-pyrenees;2384
422;1906;herault;672
423;1896;nievre;4472
424;1891;savoie;0
425;1906;ille-et-vilaine;5190
426;1906;indre;2534
427;1896;nord;6
428;1906;indre-et-loire;2523
429;1906;isere;0
430;1896;oise;0
431;1891;seine-et-marne;2259
432;1906;jura;372
433;1906;landes;2493
434;1896;orne;2670
435;1906;loir-et-cher;0
436;1906;loire;3135
437;1896;paris;21609
438;1891;seine-maritime;5941
439;1906;loire-atlantique;5550
440;1906;loiret;4
441;1896;pas-de-calais;8284
442;1906;lot;1610
443;1906;lot-et-garonne;1985
444;1896;puy-de-dome;1
445;1891;somme;3169
446;1906;lozere;0
447;1906;maine-et-loire;0
448;1896;pyrenees-atlantiques;4835
449;1906;manche;1552
450;1906;marne;4510
451;1896;pyrenees-orientales;905
452;1891;tarn;2178
453;1906;martinique;1202
454;1906;mayenne;2495
455;1896;rhone;0
456;1906;memoire+des+hommes;2279
457;1906;meurthe-et-moselle;225
458;1896;saone-et-loire;5554
459;1891;tarn-et-garonne;1342
460;1906;meuse;3263
461;1906;morbihan;3108
462;1896;sarthe;20969
463;1906;moselle;0
464;1906;nievre;2831
465;1896;savoie;0
466;1891;territoire+de+belfort;1741
467;1906;nord;0
468;1906;oise;0
469;1896;seine-et-marne;2915
470;1906;orne;1849
471;1906;paris;23657
472;1896;seine-maritime;7576
473;1891;var;0
474;1906;pas-de-calais;8831
475;1906;puy-de-dome;1338
476;1896;somme;4153
477;1906;pyrenees-atlantiques;4131
478;1906;pyrenees-orientales;1917
479;1896;tarn;2470
480;1891;vaucluse;1668
481;1906;rhone;0
